Order_ID,Order_Date,Customer_ID,Region,Category,Product,Sales,Quantity,Discount,Profit
1,2023-01-01,1051,South,Electronics,Laptop,222.57,2,0.21,11.26
2,2023-01-02,1092,East,Electronics,Shirt,455.87,1,0.27,57.04
3,2023-01-03,1014,West,Clothing,Shirt,194.89,2,0.24,41.21
4,2023-01-04,1071,West,Furniture,Shirt,482.4,4,0.2,78.18
5,2023-01-05,1060,North,Furniture,Table,53.75,3,0.2,8.02
6,2023-01-06,1020,West,Clothing,Phone,346.64,3,0.28,28.06
7,2023-01-07,1082,East,Furniture,Phone,251.97,2,0.09,31.14
8,2023-01-08,1086,South,Electronics,Chair,199.95,4,0.0,52.59
9,2023-01-09,1074,North,Furniture,Shirt,320.03,1,0.08,55.88
10,2023-01-10,1074,North,Electronics,Table,354.89,1,0.07,58.97
11,2023-01-11,1087,South,Clothing,Table,12.14,3,0.2,0.73
12,2023-01-12,1099,West,Electronics,Phone,91.81,2,0.19,4.02
13,2023-01-13,1023,South,Furniture,Shirt,359.39,2,0.18,85.73
14,2023-01-14,1002,West,Furniture,Chair,336.53,1,0.0,48.54
15,2023-01-15,1021,South,Furniture,Shirt,483.36,4,0.22,75.71
16,2023-01-16,1052,East,Clothing,Laptop,382.91,4,0.1,24.1
17,2023-01-17,1001,West,Clothing,Shirt,475.88,1,0.2,84.05
18,2023-01-18,1087,East,Furniture,Laptop,354.24,1,0.17,83.25
19,2023-01-19,1029,North,Electronics,Laptop,156.05,2,0.1,27.23
20,2023-01-20,1037,South,Clothing,Chair,61.63,4,0.04,4.82
21,2023-01-21,1001,North,Furniture,Phone,393.09,1,0.03,74.52
22,2023-01-22,1063,North,Furniture,Shirt,325.63,1,0.25,59.0
23,2023-01-23,1059,North,Clothing,Laptop,33.61,3,0.28,3.67
24,2023-01-24,1020,North,Clothing,Shirt,186.42,1,0.19,40.76
25,2023-01-25,1032,South,Clothing,Phone,478.83,1,0.03,98.55
26,2023-01-26,1075,North,Electronics,Phone,255.2,4,0.12,61.72
27,2023-01-27,1057,South,Electronics,Table,222.04,2,0.22,35.66
28,2023-01-28,1021,South,Furniture,Phone,234.27,4,0.23,14.94
29,2023-01-29,1088,East,Clothing,Chair,112.35,2,0.04,13.74
30,2023-01-30,1048,West,Electronics,Laptop,190.67,3,0.0,19.15
31,2023-01-31,1090,West,Clothing,Table,191.21,1,0.21,41.87
32,2023-02-01,1058,South,Furniture,Chair,35.65,3,0.11,7.62
33,2023-02-02,1041,East,Electronics,Shirt,386.11,2,0.08,77.83
34,2023-02-03,1091,South,Electronics,Laptop,214.09,4,0.0,26.81
35,2023-02-04,1059,South,Electronics,Phone,412.87,4,0.16,33.3
36,2023-02-05,1079,South,Furniture,Laptop,426.67,3,0.26,75.5
37,2023-02-06,1014,East,Clothing,Shirt,113.88,2,0.29,13.63
38,2023-02-07,1061,West,Electronics,Table,332.1,3,0.17,29.34
39,2023-02-08,1061,East,Furniture,Table,241.42,3,0.15,41.89
40,2023-02-09,1046,North,Clothing,Table,441.28,1,0.03,25.72
41,2023-02-10,1061,East,Furniture,Phone,115.71,3,0.16,12.79
42,2023-02-11,1050,East,Clothing,Chair,342.13,1,0.11,50.89
43,2023-02-12,1054,East,Furniture,Chair,307.8,1,0.18,21.96
44,2023-02-13,1063,East,Clothing,Laptop,154.7,4,0.12,40.32
